INFO:root:Epoch 0 evaluation score: -0.12
INFO:root:Epoch 1/5000 | Policy Loss: 0.7819 | Value Loss: 0.2558
INFO:root:Epoch 2/5000 | Policy Loss: -0.1198 | Value Loss: 0.4294
INFO:root:Epoch 3/5000 | Policy Loss: 0.4235 | Value Loss: 0.2234
INFO:root:Epoch 4/5000 | Policy Loss: 0.3316 | Value Loss: 0.1293
INFO:root:Epoch 5/5000 | Policy Loss: 0.3869 | Value Loss: 0.0741
INFO:root:Epoch 6/5000 | Policy Loss: 0.1685 | Value Loss: 0.0745
INFO:root:Epoch 7/5000 | Policy Loss: 0.2312 | Value Loss: 0.0937
INFO:root:Epoch 8/5000 | Policy Loss: -0.0401 | Value Loss: 0.9868
INFO:root:Epoch 9/5000 | Policy Loss: -0.6999 | Value Loss: 0.8463
INFO:root:Epoch 10/5000 | Policy Loss: -0.1387 | Value Loss: 0.2954
INFO:root:Epoch 11/5000 | Policy Loss: 0.0918 | Value Loss: 0.1285
INFO:root:Epoch 12/5000 | Policy Loss: 0.0256 | Value Loss: 0.5641
INFO:root:Epoch 13/5000 | Policy Loss: 0.1346 | Value Loss: 0.1354
INFO:root:Epoch 14/5000 | Policy Loss: -0.1992 | Value Loss: 0.1353
INFO:root:Epoch 15/5000 | Policy Loss: -0.1104 | Value Loss: 0.4497
INFO:root:Epoch 16/5000 | Policy Loss: 0.2126 | Value Loss: 0.1315
INFO:root:Epoch 17/5000 | Policy Loss: 0.2498 | Value Loss: 0.1001
INFO:root:Epoch 18/5000 | Policy Loss: 0.1810 | Value Loss: 0.2346
INFO:root:Epoch 19/5000 | Policy Loss: 0.4903 | Value Loss: 0.1418
INFO:root:Epoch 20/5000 | Policy Loss: -0.2352 | Value Loss: 0.1876
INFO:root:Epoch 20 evaluation score: 1.39
INFO:root:Epoch 21/5000 | Policy Loss: -0.0958 | Value Loss: 0.5008
INFO:root:Epoch 22/5000 | Policy Loss: 0.3278 | Value Loss: 0.2001
INFO:root:Epoch 23/5000 | Policy Loss: 0.1470 | Value Loss: 0.0717
INFO:root:Epoch 24/5000 | Policy Loss: -0.6437 | Value Loss: 0.3681
INFO:root:Epoch 25/5000 | Policy Loss: 0.1206 | Value Loss: 0.4994
INFO:root:Epoch 26/5000 | Policy Loss: -0.0050 | Value Loss: 0.5313
INFO:root:Epoch 27/5000 | Policy Loss: -0.1117 | Value Loss: 0.2058
INFO:root:Epoch 28/5000 | Policy Loss: 0.0790 | Value Loss: 0.1319
INFO:root:Epoch 29/5000 | Policy Loss: 0.0647 | Value Loss: 0.5712
INFO:root:Epoch 30/5000 | Policy Loss: 0.3634 | Value Loss: 0.1263
INFO:root:Epoch 31/5000 | Policy Loss: 0.3534 | Value Loss: 0.1463
INFO:root:Epoch 32/5000 | Policy Loss: -0.7386 | Value Loss: 0.5764
INFO:root:Epoch 33/5000 | Policy Loss: 0.1198 | Value Loss: 0.1385
INFO:root:Epoch 34/5000 | Policy Loss: 0.2713 | Value Loss: 0.0810
INFO:root:Epoch 35/5000 | Policy Loss: -0.3016 | Value Loss: 1.1387
INFO:root:Epoch 36/5000 | Policy Loss: 0.2329 | Value Loss: 0.1630
INFO:root:Epoch 37/5000 | Policy Loss: 0.4423 | Value Loss: 0.0828
INFO:root:Epoch 38/5000 | Policy Loss: 0.1429 | Value Loss: 0.0726
INFO:root:Epoch 39/5000 | Policy Loss: 0.1917 | Value Loss: 0.0578
INFO:root:Epoch 40/5000 | Policy Loss: 0.3504 | Value Loss: 0.0976
INFO:root:Epoch 40 evaluation score: 0.95
INFO:root:Epoch 41/5000 | Policy Loss: 0.1073 | Value Loss: 0.1230
INFO:root:Epoch 42/5000 | Policy Loss: 0.1507 | Value Loss: 0.0418
INFO:root:Epoch 43/5000 | Policy Loss: 0.2150 | Value Loss: 0.0696
INFO:root:Epoch 44/5000 | Policy Loss: 0.1095 | Value Loss: 0.0446
INFO:root:Epoch 45/5000 | Policy Loss: 0.3776 | Value Loss: 0.0658
INFO:root:Epoch 46/5000 | Policy Loss: 0.1712 | Value Loss: 0.0524
INFO:root:Epoch 47/5000 | Policy Loss: -0.1350 | Value Loss: 0.2521
INFO:root:Epoch 48/5000 | Policy Loss: 0.1826 | Value Loss: 0.1540
INFO:root:Epoch 49/5000 | Policy Loss: 0.2679 | Value Loss: 0.2235
INFO:root:Epoch 50/5000 | Policy Loss: -0.1755 | Value Loss: 0.0883
INFO:root:Epoch 51/5000 | Policy Loss: -0.0489 | Value Loss: 0.4616
INFO:root:Epoch 52/5000 | Policy Loss: 0.0975 | Value Loss: 0.0326
INFO:root:Epoch 53/5000 | Policy Loss: 0.3598 | Value Loss: 0.0731
INFO:root:Epoch 54/5000 | Policy Loss: 0.1091 | Value Loss: 0.0481
INFO:root:Epoch 55/5000 | Policy Loss: 0.2435 | Value Loss: 0.0501
INFO:root:Epoch 56/5000 | Policy Loss: -0.2472 | Value Loss: 0.9114
INFO:root:Epoch 57/5000 | Policy Loss: 0.2276 | Value Loss: 0.0854
INFO:root:Epoch 58/5000 | Policy Loss: 0.2324 | Value Loss: 0.0997
INFO:root:Epoch 59/5000 | Policy Loss: 0.3087 | Value Loss: 0.0612
INFO:root:Epoch 60/5000 | Policy Loss: 0.1208 | Value Loss: 0.0392
INFO:root:Epoch 60 evaluation score: 0.16
INFO:root:Epoch 61/5000 | Policy Loss: 0.4016 | Value Loss: 0.0733
INFO:root:Epoch 62/5000 | Policy Loss: -0.1708 | Value Loss: 0.2030
INFO:root:Epoch 63/5000 | Policy Loss: 0.0963 | Value Loss: 0.0312
INFO:root:Epoch 64/5000 | Policy Loss: 0.3801 | Value Loss: 0.0331
INFO:root:Epoch 65/5000 | Policy Loss: -0.2322 | Value Loss: 0.8975
INFO:root:Epoch 66/5000 | Policy Loss: 0.0869 | Value Loss: 0.0778
INFO:root:Epoch 67/5000 | Policy Loss: -0.4580 | Value Loss: 0.6908
INFO:root:Epoch 68/5000 | Policy Loss: 0.2570 | Value Loss: 0.0550
INFO:root:Epoch 69/5000 | Policy Loss: 0.2758 | Value Loss: 0.1994
INFO:root:Epoch 70/5000 | Policy Loss: 0.1410 | Value Loss: 0.0818
INFO:root:Epoch 71/5000 | Policy Loss: 0.0592 | Value Loss: 0.1129
INFO:root:Epoch 72/5000 | Policy Loss: 0.0208 | Value Loss: 0.5023
INFO:root:Epoch 73/5000 | Policy Loss: 0.1998 | Value Loss: 0.0966
